subject,Cluster,phase,muscle,n_points,mean_IMF,SD_IMF,CV_IMF
570,0,CoolDown,SCML,22,127.2829545711078,33.472408593553176,26.29763640099469
570,0,CoolDown,STL,22,48.1574308291544,11.569767341846774,24.02488492978837
570,0,Warmup,SCML,13,38.478372749616426,14.134260894315783,36.733000603453746
570,0,Warmup,STL,13,52.79232741247373,18.39352080694414,34.84127658027468
571,0,CoolDown,MTL,28,90.96836708171315,25.39837601546785,27.920008713197557
571,0,CoolDown,MTR,28,196.6217297920925,61.055228868574716,31.052126808737984
571,0,CoolDown,SCML,28,60.27636891863712,20.75913721482002,34.439926603477616
571,0,CoolDown,SCMR,28,108.08299702363797,40.73316563545656,37.686932040335755
571,0,CoolDown,STL,28,57.918194438121375,17.300982652364205,29.871412291431536
571,0,CoolDown,STR,28,60.919507413323224,13.956651257022477,22.909987046234928
571,0,CoolDown,UTL,28,50.84367099657416,16.951886355605293,33.34119276467568
571,0,Warmup,MTL,14,58.739984457485875,20.178983605551693,34.35306255512648
571,0,Warmup,MTR,14,89.53917338835743,36.619404607805805,40.89763532769819
571,0,Warmup,SCML,14,48.87852721279847,16.57811308903661,33.91696524909973
571,0,Warmup,SCMR,14,69.24458021813116,35.39513743733661,51.11611237419078
571,0,Warmup,STL,14,49.37874605854348,20.561394470094527,41.64017135169233
571,0,Warmup,STR,14,66.81494582451252,21.154098157003084,31.660727844580904
571,0,Warmup,UTL,14,43.590499414922604,14.287568816220794,32.77679542099865
571,0,Warmup,UTR,14,41.518164196836125,14.675855157404522,35.3480348693329
572,0,CoolDown,MTL,10,50.62214531448547,24.264824218961106,47.93321987485535
572,0,CoolDown,MTR,10,58.725690315420884,29.129557641893417,49.60275049205208
572,0,CoolDown,SCML,10,114.04989260575776,28.103415774881466,24.641334711316226
572,0,CoolDown,SCMR,10,66.32901648913807,35.17549795139932,53.031840080366045
572,0,CoolDown,STL,10,62.92752846405407,24.311755723317212,38.634531367626735
572,0,CoolDown,STR,10,84.13680673810727,15.947490857664285,18.954238312495097
572,0,CoolDown,UTL,10,130.85724520029046,12.141574871990041,9.278488824524858
572,0,CoolDown,UTR,10,83.03632531822716,7.471720768694029,8.998135141529348
573,1,CoolDown,MTL,13,81.11240975619143,30.103205985270147,37.11294742167653
573,1,CoolDown,MTR,13,67.95280627582261,20.94741314040795,30.826413636813953
573,1,CoolDown,SCML,13,199.24101409751384,16.76962650071175,8.41675423941792
573,1,CoolDown,SCMR,13,165.45700282335062,12.60537239947709,7.6185185180316335
573,1,CoolDown,STL,13,55.870597232443046,21.04824436525732,37.67320452596663
573,1,CoolDown,STR,13,61.02669918089165,6.153572883885342,10.083410976637118
573,1,CoolDown,UTL,13,43.249690970568864,13.49759304635754,31.208530612490538
573,1,CoolDown,UTR,13,53.100154394470664,17.673431180436552,33.283201116787886
573,1,Warmup,MTL,13,49.40623061050749,16.232279903648173,32.85472237624209
573,1,Warmup,MTR,13,45.866220317542776,17.187188356822276,37.47243229948157
573,1,Warmup,SCML,13,92.96374856307328,66.82552041620606,71.88341848206221
573,1,Warmup,SCMR,13,129.97994314820428,70.45627165146203,54.20549505174592
573,1,Warmup,STL,13,80.34284230119908,25.851797177394843,32.176851648437406
573,1,Warmup,STR,13,64.95149320135252,8.364894981518027,12.878680026010302
573,1,Warmup,UTL,13,36.5544541121356,11.749751937711745,32.14314704760145
573,1,Warmup,UTR,13,37.2470648216287,13.917438239577326,37.36519456291686
574,1,CoolDown,MTL,12,64.02801225536173,19.92216503432589,31.11476419863026
574,1,CoolDown,MTR,12,102.21138414723109,34.53475641366236,33.78758315601766
