subject,phase,angle,muscle,r,p,n
subject_541,Vo2max,Horizontal,MTR,,,59
subject_541,Vo2max,Horizontal,SCML,,,59
subject_541,Vo2max,Horizontal,SCMR,,,59
subject_541,Vo2max,Horizontal,STL,,,59
subject_541,Vo2max,Horizontal,STR,,,59
subject_541,Vo2max,Horizontal,UTL,,,59
subject_541,Vo2max,Horizontal,UTR,,,59
subject_541,WanT,Sagittal,MTL,-0.5613178230254507,0.0010186080301430986,31
subject_541,WanT,Sagittal,MTR,-0.3092597829938608,0.09047207580471398,31
subject_541,WanT,Sagittal,SCML,-0.5668733879894122,0.0008841160637594136,31
subject_541,WanT,Sagittal,SCMR,-0.46851931196075924,0.007852079453188795,31
subject_541,WanT,Sagittal,STL,-0.4016467707278884,0.025114757998483103,31
subject_541,WanT,Sagittal,STR,-0.5275729099110175,0.002288641633913291,31
subject_541,WanT,Sagittal,UTL,-0.5065852200471626,0.0036366066479940643,31
subject_541,WanT,Sagittal,UTR,-0.5545276880694976,0.0012070623703034215,31
subject_541,WanT,Frontal,MTL,0.2617573097448196,0.15489487979322697,31
subject_541,WanT,Frontal,MTR,-0.04215802825217046,0.8218392585532471,31
subject_541,WanT,Frontal,SCML,0.1963179823086147,0.2898377548472113,31
subject_541,WanT,Frontal,SCMR,0.1463995209950994,0.43194393602449355,31
subject_541,WanT,Frontal,STL,0.1459800381269186,0.43327884441417214,31
subject_541,WanT,Frontal,STR,0.3301330172582901,0.06970813921448855,31
subject_541,WanT,Frontal,UTL,0.15227228114963062,0.4134938123422111,31
subject_541,WanT,Frontal,UTR,0.30831990811288845,0.09150709180478743,31
subject_541,WanT,Horizontal,MTL,0.32117785601808235,0.0781080452540511,31
subject_541,WanT,Horizontal,MTR,0.31178022511910236,0.08774051905391266,31
subject_541,WanT,Horizontal,SCML,0.2918793596859682,0.1111045427649775,31
subject_541,WanT,Horizontal,SCMR,0.22471393884914023,0.22423001169608783,31
subject_541,WanT,Horizontal,STL,0.3261530723763659,0.07335008077959823,31
subject_541,WanT,Horizontal,STR,0.2581584488131574,0.16085609425642147,31
subject_541,WanT,Horizontal,UTL,0.3615323887019378,0.04567539585432103,31
subject_541,WanT,Horizontal,UTR,0.2639628678978216,0.15132102999546568,31
subject_541,Warmup,Sagittal,MTL,0.07297035326500612,0.5762489117004087,61
subject_541,Warmup,Sagittal,MTR,-0.08812844597222962,0.499433403828363,61
subject_541,Warmup,Sagittal,SCML,-0.3979880620105889,0.0014911050444579297,61
subject_541,Warmup,Sagittal,SCMR,-0.09658877678556366,0.45899066140671135,61
subject_541,Warmup,Sagittal,STL,0.0032901286496299057,0.9799232160904782,61
subject_541,Warmup,Sagittal,STR,-0.3693756932182717,0.003393946166938034,61
subject_541,Warmup,Sagittal,UTL,-0.1285500265248256,0.3234753779933799,61
subject_541,Warmup,Sagittal,UTR,-0.17784320397195938,0.1703053138077944,61
subject_541,Warmup,Frontal,MTL,-0.1151135707955496,0.377016029449703,61
subject_541,Warmup,Frontal,MTR,-0.08024583703283965,0.5387087382944556,61
subject_541,Warmup,Frontal,SCML,0.32615511725405716,0.010311071308536097,61
subject_541,Warmup,Frontal,SCMR,0.04687958462833251,0.71977168846225,61
subject_541,Warmup,Frontal,STL,0.05905826675597762,0.6511880672786766,61
subject_541,Warmup,Frontal,STR,0.14681151057983136,0.2588793615756271,61
subject_541,Warmup,Frontal,UTL,0.12328830263465386,0.34383767416832023,61
subject_541,Warmup,Frontal,UTR,0.20753808995603432,0.10851161460426847,61
subject_541,Warmup,Horizontal,MTL,-0.04751909633114914,0.716109259499399,61
subject_541,Warmup,Horizontal,MTR,0.006788442333021305,0.9585899305044768,61
subject_541,Warmup,Horizontal,SCML,0.3054799049859588,0.016663511114090306,61
