angle,muscle,phase,mean_r,median_r,sd_r,ci_low,ci_high,p,n_subjects,p_bonf,significant
Frontal,SCML,Cooldown,0.06539199618665359,0.0524343115641472,0.279033037749233,-0.4542693627190193,0.5329355313242081,0.06943473118519204,58,1.0,False
Frontal,SCMR,Cooldown,0.06093245666907715,0.06798694708931348,0.2668873878008963,-0.35346893225575615,0.4908928404669273,0.08116376742153998,57,1.0,False
Frontal,STL,Cooldown,-0.01456421637025321,-0.021428407731516795,0.23227022084684185,-0.46378635314358146,0.35676531344364815,0.6958056819535053,58,1.0,False
Frontal,STR,Cooldown,-0.010723531014502609,0.007265392195447241,0.25837553909603544,-0.41308558633202636,0.44231232084822397,0.6650047146854436,57,1.0,False
Frontal,UTL,Cooldown,0.0244332630953892,0.010656424600221164,0.254053850224315,-0.4110542632932159,0.46713981803622284,0.4932191137397872,58,1.0,False
Frontal,UTR,Cooldown,-0.02129704796447518,-0.05908460874873414,0.25817134208983267,-0.44096771550756075,0.4414217729062541,0.4292076819041927,57,1.0,False
Horizontal,MTL,Cooldown,-0.0252022375096065,0.013099598764608119,0.20351545315358535,-0.3909025114684716,0.28375088344043875,0.5121589732161957,57,1.0,False
Horizontal,MTR,Cooldown,-0.04741157009977749,-0.06789766442740039,0.18634378206729044,-0.3419365417127847,0.2859163426109852,0.047909541833156606,58,1.0,False
Horizontal,SCML,Cooldown,-0.002914714795627225,-0.023989562494143267,0.24162873060280757,-0.4158693081761439,0.4648091103565958,0.678716205249646,58,1.0,False
Horizontal,SCMR,Cooldown,-0.03743124375391923,-0.0393998508090481,0.2360560083013816,-0.4374472433640191,0.42967315732505657,0.1608169564029267,57,1.0,False
Horizontal,STL,Cooldown,-0.020260548889947598,-0.039431628482093514,0.22876458513043982,-0.4045594602414384,0.39972182256055006,0.3795333184620441,58,1.0,False
Horizontal,STR,Cooldown,0.043154276874428646,0.07495784289761019,0.25414615454455375,-0.40532816777666353,0.5181277491484654,0.2226205509474054,57,1.0,False
Horizontal,UTL,Cooldown,-0.004283794771783875,-0.0046499204857428185,0.2511578034797039,-0.37855565964980364,0.4685734315547449,0.837437571596974,58,1.0,False
Horizontal,UTR,Cooldown,-0.030410891798579923,-0.014125726813882628,0.2405192758625477,-0.38241319079181074,0.37199128852733365,0.4154250995875789,57,1.0,False
