pct_center,angle,muscle,mean_r,sd_r,n_subjects,se_r
70,Horizontal,SCMR,-0.026764623213279805,0.23561514452002177,37,0.03873489115289699
70,Horizontal,STL,0.02142616753573602,0.23955424227290073,37,0.0393824748343671
70,Horizontal,STR,0.0545606733139115,0.19744136925459843,36,0.0329068948757664
70,Horizontal,UTL,0.002400702557510066,0.2121854715857729,37,0.03488307664961073
70,Horizontal,UTR,-0.015344665435919575,0.1969702533598769,37,0.03238171018164341
70,Sagittal,MTL,0.0018334916749486263,0.19436704301336266,55,0.026208446733399234
70,Sagittal,MTR,-0.00505476523206611,0.21737622802565648,56,0.029048120332187653
70,Sagittal,SCML,0.16564905767668323,0.2912378161489927,56,0.03891829021792106
70,Sagittal,SCMR,0.16237022516316663,0.3239478795534464,55,0.043681123168038495
70,Sagittal,STL,-0.061262050438931404,0.28832984286585317,56,0.038529695942371045
70,Sagittal,STR,-0.043265620492871096,0.2712307646209932,55,0.03657274884065472
70,Sagittal,UTL,0.05852724911189511,0.2757707322429926,56,0.036851414191180425
70,Sagittal,UTR,0.06109193639750791,0.27960091527710257,56,0.03736324392840449
80,Frontal,MTL,0.01644947569505578,0.24834541486311107,46,0.03661653376951656
80,Frontal,MTR,0.018965861538042524,0.2635125273863285,46,0.03885280250916118
80,Frontal,SCML,0.10012484801720965,0.3072002115698385,46,0.04529420012505525
80,Frontal,SCMR,0.07535703237929288,0.2916864703678969,45,0.043482051723973035
80,Frontal,STL,0.04068277810413938,0.2822872329228918,46,0.04162098181970425
80,Frontal,STR,0.027806329013267947,0.23439833399095394,45,0.0349420405744315
